sct;year;capitaux_propres;passifs_non_courant;total_bilan;stock;creance_client;actif_immobilier;resultat_net;chiffre_d_affaires
CANAL PLUS (STE ED);12.19;302000.0;3000.0;1000000.0;0.0;112000.0;33000.0;40000.0;1882000.0
CAPGEMINI;12.17;6960000.0;2783000.0;15944000.0;0.0;3170000.0;1430000.0;808000.0;12525000.0
CAPGEMINI;12.18;7479000.0;3274000.0;16498000.0;0.0;3279000.0;1482000.0;724000.0;13197000.0
CAPGEMINI;12.19;8419000.0;3156000.0;18135000.0;0.0;3380000.0;1383000.0;852000.0;14125000.0
CARMILA;12.17;3542461.0;2021596.0;6034396.0;0.0;107919.0;6970.0;314304.0;12525000.0
CARMILA;12.18;3652680.0;2359135.0;6503746.0;0.0;123616.0;6618.0;163609.0;13197000.0
CARMILA;12.19;3546046.0;2348120.0;6519736.0;0.0;117105.0;8506.0;108404.0;14125000.0
CARREFOUR;12.17;12158000.0;6428000.0;47813000.0;6690000.0;1433000.0;13732000.0;-362000.0;77673000.0
CARREFOUR;12.18;11286000.0;6936000.0;47378000.0;6135000.0;1423000.0;13399000.0;-344000.0;75261000.0
CARREFOUR;12.19;11675000.0;9963000.0;50802000.0;5867000.0;1575000.0;12823000.0;1311000.0;71651000.0
CASINO GUICHARD PERRACHON;12.17;13023000.0;7229000.0;38116000.0;3815000.0;937000.0;10168000.0;299000.0;37490000.0
CASINO GUICHARD PERRACHON;12.18;12019000.0;6817000.0;37440000.0;3843000.0;905000.0;8784000.0;161000.0;36604000.0
CASINO GUICHARD PERRACHON;12.19;8291000.0;12037000.0;34844000.0;3775000.0;836000.0;12246000.0;-1322000.0;34645000.0
CATERING INTL CIS;12.17;66259.0;6244.0;141644.0;13763.0;55629.0;10181.0;4076.0;249551.0
CATERING INTL CIS;12.18;56818.0;6755.0;126989.0;12652.0;44687.0;7890.0;5347.0;251355.0
CATERING INTL CIS;12.19;59380.0;11305.0;128915.0;11743.0;43192.0;7850.0;5525.0;224162.0
