,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
151,SOTEMAIL,2018,29556047.0,12366387.0,104033271.0,23523610.0,16727407.0,52899070.0,2101949.0,13014478.128631
152,SOTEMAIL,2019,39694949.0,21013169.0,115828427.0,27574354.0,18729916.0,56515419.0,2317901.0,87015402.700524
153,SOTETEL,2017,22524668.0,6867887.0,67063820.0,2753557.0,48184.707,10404906.0,6008431.0,122068770.385
154,SOTETEL,2018,26570912.0,4019303.0,70514364.0,3404078.0,50760407.0,9919932.0,4045857.0,89199813.04
155,SOTETEL,2019,22999919.0,2413679.0,64564850.0,4166924.0,43359937.0,9654666.0,-3119116.0,6078841.714912999
156,SOTIPAPIER,2017,57902427.0,13868626.0,95146980.0,29517743.0,14247257.0,34816810.0,9301458.0,54619784.216
157,SOTIPAPIER,2018,66284457.0,13660227.0,107905610.0,35502601.0,17194385.0,37902203.0,13182195.0,37503383.222
158,SOTIPAPIER,2019,76535344.0,10656639.0,109197932.0,35670396.0,32056470.0,36898814.0,21264091.0,24879161.1633
159,SOTRAPIL,2017,38737878.0,2267957.0,46804650.0,602853.0,265210.0,10252851.0,6218419.0,91372375.04
160,SOTUMAG,2017,21667847.0,314109.0,25848896.0,37453.0,291180.0,17222436.0,3070143.0,59155213.58
161,SOTUMAG,2018,23327289.0,313201.0,27595194.0,67507.0,389702.0,13978757.0,3186420.0,25740299.4454
162,SOTUMAG,2019,26438622.0,318962.0,31734976.0,88908.0,520767.0,12795235.0,4705105.0,86982148.54057801
163,SOTUVER,2017,55394173.0,17810052.0,112841765.0,40893071.0,14083966.0,55183568.0,10355804.0,43359629.930798
164,SOTUVER,2018,65846630.0,18395803.0,123571127.0,36257608.0,23581089.0,50138922.0,17309924.0,17334612.687799
165,SOTUVER,2019,68945236.0,26981158.0,145073659.0,35956520.0,27474236.0,69418295.0,11663571.0,15193593.153084
166,SPDIT - SICAF,2017,56677579.0,0.0,57940325.0,0.0,0.0,12868307.0,17527014.0,107543552.2809
167,SPDIT - SICAF,2018,65520935.0,0.0,67236167.0,0.0,0.0,12812453.0,24243356.0,54643185.874
168,SPDIT - SICAF,2019,70645456.0,0.0,73059160.0,0.0,0.0,12548320.0,21924521.0,37991258.182512
169,STAR,2017,327883395.0,815019438.0,1142902833.0,0.0,218630257.0,800151214.0,7048489.0,151618187.462
170,STAR,2018,342963706.0,873156040.0,1216119746.0,0.0,220926628.0,851976970.0,17742134.0,33302926.9
171,STAR,2019,358095007.0,877995109.0,1236090116.0,0.0,202366078.0,906878091.0,22057373.0,147851445.235316
